,Year,Country of origin,Country of asylum,Refugees under UNHCR's mandate,Asylum-seekers,IDPs of concern to UNHCR,International total
28391,2022,Yemen,Denmark,7,0,0,7
28392,2022,Zambia,Denmark,5,0,0,5
28393,2022,Zimbabwe,Denmark,7,5,0,12
28394,2022,Stateless,Denmark,2898,93,0,2991
28395,2022,Unknown ,Denmark,0,5,0,5
28396,2022,Dem. Rep. of the Congo,Djibouti,0,13,0,13
28397,2022,Eritrea,Djibouti,673,350,0,1023
28398,2022,Ethiopia,Djibouti,2961,10667,0,13628
28399,2022,Iraq,Djibouti,16,0,0,16
28400,2022,Mali,Djibouti,5,5,0,10
28401,2022,Somalia,Djibouti,14152,138,0,14290
28402,2022,Sudan,Djibouti,9,5,0,14
28403,2022,Syrian Arab Rep.,Djibouti,15,5,0,20
28404,2022,Yemen,Djibouti,6518,0,0,6518
28405,2022,Afghanistan,Dominican Rep.,0,8,0,8
28406,2022,Colombia,Dominican Rep.,0,7,0,7
28407,2022,Cuba,Dominican Rep.,0,79,0,79
28408,2022,Haiti,Dominican Rep.,185,586,0,771
28409,2022,Honduras,Dominican Rep.,0,5,0,5
28410,2022,Sri Lanka,Dominican Rep.,0,5,0,5
28411,2022,Nicaragua,Dominican Rep.,0,11,0,11
28412,2022,Syrian Arab Rep.,Dominican Rep.,5,0,0,5
28413,2022,Venezuela (Bolivarian Republic of),Dominican Rep.,0,297,0,297
28414,2022,Unknown ,Dominican Rep.,0,19,0,19
28415,2022,Afghanistan,Ecuador,151,0,0,151
28416,2022,Albania,Ecuador,6,0,0,6
28417,2022,Angola,Ecuador,5,0,0,5
28418,2022,Egypt,Ecuador,5,8,0,13
28419,2022,Bangladesh,Ecuador,5,5,0,10
28420,2022,Brazil,Ecuador,5,5,0,10
28421,2022,China,Ecuador,12,0,0,12
28422,2022,Chile,Ecuador,7,5,0,12
28423,2022,Cameroon,Ecuador,19,5,0,24
28424,2022,Congo,Ecuador,10,5,0,15
28425,2022,Dem. Rep. of the Congo,Ecuador,8,5,0,13
28426,2022,Colombia,Ecuador,56295,4566,0,60861
28427,2022,Cuba,Ecuador,226,168,0,394
28428,2022,Dominican Rep.,Ecuador,5,5,0,10
28429,2022,Eritrea,Ecuador,11,5,0,16
28430,2022,Ethiopia,Ecuador,5,0,0,5
28431,2022,Palestinian,Ecuador,10,7,0,17
28432,2022,Ghana,Ecuador,5,0,0,5
28433,2022,Guinea,Ecuador,9,0,0,9
28434,2022,Haiti,Ecuador,26,10,0,36
28435,2022,Honduras,Ecuador,0,5,0,5
28436,2022,Cote d'Ivoire,Ecuador,5,0,0,5
28437,2022,India,Ecuador,5,6,0,11
28438,2022,Iran (Islamic Rep. of),Ecuador,69,7,0,76
28439,2022,Iraq,Ecuador,61,0,0,61
28440,2022,Liberia,Ecuador,6,0,0,6
28441,2022,Lebanon,Ecuador,16,12,0,28
28442,2022,Sri Lanka,Ecuador,18,5,0,23
28443,2022,Mali,Ecuador,5,0,0,5
28444,2022,Morocco,Ecuador,5,0,0,5
28445,2022,Nepal,Ecuador,5,0,0,5
28446,2022,Nicaragua,Ecuador,5,0,0,5
28447,2022,Nigeria,Ecuador,41,12,0,53
28448,2022,Pakistan,Ecuador,30,0,0,30
28449,2022,Panama,Ecuador,5,0,0,5
28450,2022,Peru,Ecuador,82,90,0,172
28451,2022,South Africa,Ecuador,0,5,0,5
28452,2022,Russian Federation,Ecuador,41,5,0,46
28453,2022,El Salvador,Ecuador,33,7,0,40
28454,2022,Saudi Arabia,Ecuador,8,0,0,8
28455,2022,Somalia,Ecuador,8,0,0,8
28456,2022,Spain,Ecuador,5,0,0,5
28457,2022,Viet Nam,Ecuador,5,0,0,5
28458,2022,Sudan,Ecuador,5,0,0,5
28459,2022,Syrian Arab Rep.,Ecuador,162,5,0,167
28460,2022,Togo,Ecuador,0,5,0,5
28461,2022,Türkiye,Ecuador,5,0,0,5
28462,2022,Uganda,Ecuador,7,0,0,7
28463,2022,Ukraine,Ecuador,44,16,0,60
28464,2022,United States of America,Ecuador,8,0,0,8
28465,2022,Uzbekistan,Ecuador,5,0,0,5
28466,2022,Venezuela (Bolivarian Republic of),Ecuador,1174,6642,0,7816
28467,2022,Western Sahara,Ecuador,5,0,0,5
28468,2022,Yemen,Ecuador,115,12,0,127
28469,2022,Zimbabwe,Ecuador,6,7,0,13
28470,2022,Unknown ,Ecuador,29,0,0,29
28471,2022,Eritrea,Eritrea,0,0,0,0
28472,2022,Ethiopia,Eritrea,15,0,0,15
28473,2022,Sudan,Eritrea,99,0,0,99
28474,2022,South Sudan,Eritrea,7,0,0,7
28475,2022,Afghanistan,Estonia,22,5,0,27
28476,2022,Egypt,Estonia,5,0,0,5
28477,2022,Azerbaijan,Estonia,15,0,0,15
28478,2022,Belarus,Estonia,18,6,0,24
28479,2022,Eritrea,Estonia,10,0,0,10
28480,2022,Georgia,Estonia,9,5,0,14
28481,2022,Iran (Islamic Rep. of),Estonia,5,0,0,5
28482,2022,Iraq,Estonia,17,0,0,17
28483,2022,Kazakhstan,Estonia,5,0,0,5
28484,2022,Rep. of Moldova,Estonia,10,0,0,10
28485,2022,Nigeria,Estonia,7,5,0,12
28486,2022,Pakistan,Estonia,5,0,0,5
28487,2022,Russian Federation,Estonia,118,79,0,197
28488,2022,Serbia and Kosovo: S/RES/1244 (1999),Estonia,7,0,0,7
28489,2022,Sudan,Estonia,13,0,0,13
28490,2022,Syrian Arab Rep.,Estonia,94,0,0,94
28491,2022,Turkmenistan,Estonia,5,0,0,5
28492,2022,Türkiye,Estonia,29,0,0,29
28493,2022,Ukraine,Estonia,28181,69,0,28250
28494,2022,United States of America,Estonia,5,0,0,5
28495,2022,Uzbekistan,Estonia,5,5,0,10
28496,2022,Yemen,Estonia,5,0,0,5
28497,2022,Stateless,Estonia,10,0,0,10
28498,2022,Egypt,Ethiopia,5,0,0,5
28499,2022,Burundi,Ethiopia,63,68,0,131
28500,2022,Chad,Ethiopia,0,5,0,5
28501,2022,Dem. Rep. of the Congo,Ethiopia,786,262,0,1048
28502,2022,Cuba,Ethiopia,5,0,0,5
28503,2022,Djibouti,Ethiopia,53,5,0,58
28504,2022,Eritrea,Ethiopia,161203,255,0,161458
28505,2022,Ethiopia,Ethiopia,0,0,4500000,0
28506,2022,Palestinian,Ethiopia,0,13,0,13
28507,2022,Cote d'Ivoire,Ethiopia,5,0,0,5
28508,2022,Iraq,Ethiopia,10,0,0,10
28509,2022,Jordan,Ethiopia,0,19,0,19
28510,2022,Kenya,Ethiopia,4023,0,0,4023
28511,2022,Lebanon,Ethiopia,0,18,0,18
28512,2022,Mali,Ethiopia,0,5,0,5
28513,2022,Nigeria,Ethiopia,5,5,0,10
28514,2022,Rwanda,Ethiopia,11,7,0,18
28515,2022,Somalia,Ethiopia,249104,51,0,249155
28516,2022,Sudan,Ethiopia,46989,605,0,47594
28517,2022,South Sudan,Ethiopia,403115,204,0,403319
28518,2022,Syrian Arab Rep.,Ethiopia,55,613,0,668
28519,2022,Uganda,Ethiopia,11,5,0,16
28520,2022,Yemen,Ethiopia,2356,107,0,2463
28521,2022,Afghanistan,Fiji,7,0,0,7
28522,2022,Bangladesh,Fiji,5,0,0,5
28523,2022,Afghanistan,Finland,3755,565,0,4320
28524,2022,Albania,Finland,5,15,0,20
28525,2022,Algeria,Finland,6,11,0,17
28526,2022,Angola,Finland,52,11,0,63
28527,2022,Egypt,Finland,41,22,0,63
28528,2022,Armenia,Finland,0,5,0,5
28529,2022,Azerbaijan,Finland,71,0,0,71
28530,2022,Burundi,Finland,6,0,0,6
28531,2022,Bangladesh,Finland,23,16,0,39
28532,2022,Burkina Faso,Finland,5,0,0,5
28533,2022,Belarus,Finland,19,22,0,41
28534,2022,Brazil,Finland,0,6,0,6
28535,2022,Cambodia,Finland,5,5,0,10
28536,2022,Central African Rep.,Finland,6,0,0,6
28537,2022,China,Finland,184,12,0,196
28538,2022,Cameroon,Finland,134,61,0,195
28539,2022,Congo,Finland,6,0,0,6
28540,2022,Dem. Rep. of the Congo,Finland,92,28,0,120
28541,2022,Colombia,Finland,5,37,0,42
28542,2022,Cuba,Finland,5,34,0,39
28543,2022,Dominican Rep.,Finland,5,0,0,5
28544,2022,Eritrea,Finland,871,7,0,878
28545,2022,Ethiopia,Finland,151,43,0,194
28546,2022,Gambia,Finland,28,28,0,56
28547,2022,United Kingdom of Great Britain and Northern Ireland,Finland,0,6,0,6
28548,2022,Georgia,Finland,0,67,0,67
28549,2022,Ghana,Finland,33,23,0,56
28550,2022,Guatemala,Finland,5,0,0,5
28551,2022,Guinea,Finland,24,5,0,29
28552,2022,Honduras,Finland,32,24,0,56
28553,2022,Cote d'Ivoire,Finland,7,5,0,12
28554,2022,India,Finland,5,6,0,11
28555,2022,Indonesia,Finland,5,0,0,5
28556,2022,Iran (Islamic Rep. of),Finland,958,192,0,1150
28557,2022,Iraq,Finland,9175,1508,0,10683
28558,2022,Jordan,Finland,6,5,0,11
28559,2022,Kazakhstan,Finland,8,0,0,8
28560,2022,Kenya,Finland,19,10,0,29
28561,2022,Kyrgyzstan,Finland,18,0,0,18
28562,2022,Liberia,Finland,5,0,0,5
28563,2022,Libya,Finland,33,12,0,45
28564,2022,Lebanon,Finland,12,5,0,17
28565,2022,Sri Lanka,Finland,31,17,0,48
28566,2022,Rep. of Moldova,Finland,6,11,0,17
28567,2022,Mexico,Finland,0,5,0,5
28568,2022,Mali,Finland,8,0,0,8
28569,2022,Malaysia,Finland,5,0,0,5
28570,2022,Morocco,Finland,40,26,0,66
28571,2022,Myanmar,Finland,31,9,0,40
28572,2022,Nepal,Finland,0,5,0,5
28573,2022,Niger,Finland,0,5,0,5
28574,2022,Nicaragua,Finland,73,0,0,73
28575,2022,Nigeria,Finland,139,139,0,278
28576,2022,Pakistan,Finland,80,36,0,116
28577,2022,Peru,Finland,0,5,0,5
28578,2022,Russian Federation,Finland,832,613,0,1445
28579,2022,Rwanda,Finland,49,37,0,86
28580,2022,El Salvador,Finland,10,12,0,22
28581,2022,Serbia and Kosovo: S/RES/1244 (1999),Finland,36,7,0,43
28582,2022,Senegal,Finland,5,5,0,10
28583,2022,Sierra Leone,Finland,5,13,0,18
28584,2022,Somalia,Finland,2483,467,0,2950
28585,2022,Viet Nam,Finland,7,5,0,12
28586,2022,Sudan,Finland,55,10,0,65
28587,2022,South Sudan,Finland,8,0,0,8
28588,2022,Syrian Arab Rep.,Finland,2610,100,0,2710
28589,2022,United Rep. of Tanzania,Finland,7,0,0,7
28590,2022,Tajikistan,Finland,9,5,0,14
28591,2022,Togo,Finland,5,0,0,5
28592,2022,Tunisia,Finland,5,10,0,15
28593,2022,Türkiye,Finland,876,201,0,1077
28594,2022,Uganda,Finland,36,16,0,52
28595,2022,Ukraine,Finland,29172,715,0,29887
28596,2022,United States of America,Finland,0,7,0,7
28597,2022,Uzbekistan,Finland,10,9,0,19
28598,2022,Venezuela (Bolivarian Republic of),Finland,5,12,0,17
28599,2022,Yemen,Finland,315,24,0,339
28600,2022,Zimbabwe,Finland,6,0,0,6
28601,2022,Stateless,Finland,414,24,0,438
28602,2022,Unknown ,Finland,134,59,0,193
28603,2022,Afghanistan,France,55681,9066,0,64747
28604,2022,Albania,France,10236,2003,0,12239
28605,2022,Algeria,France,3278,407,0,3685
28606,2022,Angola,France,6808,484,0,7292
28607,2022,Egypt,France,1670,368,0,2038
28608,2022,Argentina,France,12,6,0,18
28609,2022,Armenia,France,6417,891,0,7308
28610,2022,Azerbaijan,France,4664,271,0,4935
28611,2022,Bahrain,France,21,0,0,21
28612,2022,Burundi,France,1953,331,0,2284
28613,2022,Benin,France,221,164,0,385
28614,2022,Bangladesh,France,8858,5013,0,13871
28615,2022,Bhutan,France,178,0,0,178
28616,2022,Burkina Faso,France,590,242,0,832
28617,2022,Belarus,France,844,52,0,896
28618,2022,Bolivia (Plurinational State of),France,65,5,0,70
28619,2022,Brazil,France,65,74,0,139
28620,2022,Bosnia and Herzegovina,France,6913,130,0,7043
28621,2022,Bulgaria,France,70,0,0,70
28622,2022,Cambodia,France,11012,12,0,11024
28623,2022,Canada,France,5,0,0,5
28624,2022,Central African Rep.,France,5318,126,0,5444
28625,2022,Chad,France,3237,1183,0,4420
28626,2022,China,France,10543,223,0,10766
28627,2022,Chile,France,153,13,0,166
28628,2022,Cameroon,France,2736,1054,0,3790
28629,2022,Congo,France,5744,726,0,6470
28630,2022,Dem. Rep. of the Congo,France,31935,2645,0,34580
28631,2022,Comoros,France,1721,806,0,2527
28632,2022,Colombia,France,1185,807,0,1992
28633,2022,Cuba,France,331,111,0,442
28634,2022,Cabo Verde,France,0,10,0,10
28635,2022,Djibouti,France,569,172,0,741
28636,2022,Dominica,France,5,0,0,5
28637,2022,Dominican Rep.,France,160,78,0,238
28638,2022,Ecuador,France,37,0,0,37
28639,2022,Equatorial Guinea,France,60,15,0,75
28640,2022,Eritrea,France,11489,482,0,11971
28641,2022,Estonia,France,5,0,0,5
28642,2022,Ethiopia,France,3208,376,0,3584
28643,2022,Gabon,France,520,194,0,714
28644,2022,Gambia,France,548,191,0,739
28645,2022,Palestinian,France,1981,51,0,2032
28646,2022,Georgia,France,5896,2615,0,8511
28647,2022,Ghana,France,600,58,0,658
28648,2022,Guinea-Bissau,France,1288,42,0,1330
28649,2022,Guatemala,France,21,9,0,30
28650,2022,Guinea,France,21225,2575,0,23800
28651,2022,Guyana,France,31,0,0,31
28652,2022,Haiti,France,6910,342,0,7252
28653,2022,Honduras,France,51,9,0,60
28654,2022,Croatia,France,63,0,0,63
28655,2022,Hungary,France,72,10,0,82
28656,2022,Cote d'Ivoire,France,12286,3014,0,15300
28657,2022,India,France,321,69,0,390
28658,2022,Indonesia,France,9,0,0,9
28659,2022,Iran (Islamic Rep. of),France,4070,294,0,4364
28660,2022,Iraq,France,13974,358,0,14332
28661,2022,Israel,France,9,0,0,9
28662,2022,Italy,France,0,5,0,5
28663,2022,Jamaica,France,38,9,0,47
28664,2022,Jordan,France,61,5,0,66
28665,2022,Kazakhstan,France,1052,43,0,1095
28666,2022,Kenya,France,199,10,0,209
28667,2022,Kyrgyzstan,France,530,32,0,562
28668,2022,Kuwait,France,511,30,0,541
28669,2022,Lao People's Dem. Rep.,France,6498,15,0,6513
28670,2022,Liberia,France,344,22,0,366
28671,2022,Libya,France,2343,156,0,2499
28672,2022,Saint Lucia,France,6,8,0,14
28673,2022,Lebanon,France,344,143,0,487
28674,2022,Sri Lanka,France,33834,896,0,34730
28675,2022,Lithuania,France,6,0,0,6
28676,2022,Latvia,France,38,0,0,38
28677,2022,Madagascar,France,429,437,0,866
28678,2022,Mauritania,France,8124,896,0,9020
28679,2022,North Macedonia,France,742,141,0,883
28680,2022,Rep. of Moldova,France,455,194,0,649
28681,2022,Maldives,France,6,0,0,6
28682,2022,Mexico,France,34,17,0,51
28683,2022,Mali,France,8101,1207,0,9308
28684,2022,Malaysia,France,28,0,0,28
28685,2022,Mongolia,France,835,43,0,878
28686,2022,Morocco,France,1328,201,0,1529
28687,2022,Mozambique,France,18,0,0,18
28688,2022,Montenegro,France,197,24,0,221
28689,2022,Mauritius,France,58,6,0,64
28690,2022,Myanmar,France,369,17,0,386
28691,2022,Nepal,France,220,41,0,261
28692,2022,Niger,France,214,56,0,270
28693,2022,Nicaragua,France,74,17,0,91
28694,2022,Nigeria,France,6111,2787,0,8898
28695,2022,Pakistan,France,2866,1208,0,4074
28696,2022,Paraguay,France,9,0,0,9
28697,2022,Peru,France,486,111,0,597
28698,2022,Philippines,France,7,0,0,7
28699,2022,Poland,France,134,0,0,134
28700,2022,Romania,France,170,0,0,170
28701,2022,South Africa,France,150,10,0,160
28702,2022,Russian Federation,France,33148,1168,0,34316
28703,2022,Rwanda,France,4480,369,0,4849
28704,2022,El Salvador,France,116,10,0,126
28705,2022,Saudi Arabia,France,42,0,0,42
28706,2022,Serbia and Kosovo: S/RES/1244 (1999),France,18008,596,0,18604
28707,2022,Senegal,France,2932,849,0,3781
28708,2022,Sierra Leone,France,1206,292,0,1498
28709,2022,Somalia,France,10210,2935,0,13145
28710,2022,Viet Nam,France,7991,15,0,8006
28711,2022,Sudan,France,24223,1104,0,25327
28712,2022,Suriname,France,11,21,0,32
28713,2022,South Sudan,France,245,7,0,252
28714,2022,Slovakia,France,140,0,0,140
28715,2022,Syrian Arab Rep.,France,39091,507,0,39598
28716,2022,United Rep. of Tanzania,France,28,19,0,47
28717,2022,Thailand,France,15,5,0,20
28718,2022,Tajikistan,France,135,19,0,154
28719,2022,Turkmenistan,France,41,6,0,47
28720,2022,Togo,France,1124,148,0,1272
28721,2022,Tunisia,France,572,115,0,687
28722,2022,Türkiye,France,17032,5350,0,22382
28723,2022,Uganda,France,225,14,0,239
28724,2022,Ukraine,France,94970,1334,0,96304
28725,2022,United States of America,France,9,5,0,14
28726,2022,Uzbekistan,France,300,24,0,324
28727,2022,Venezuela (Bolivarian Republic of),France,1400,549,0,1949
28728,2022,Western Sahara,France,858,64,0,922
28729,2022,Yemen,France,993,44,0,1037
28730,2022,Zimbabwe,France,86,5,0,91
28731,2022,Stateless,France,1784,175,0,1959
28732,2022,Tibetan,France,32,0,0,32
28733,2022,Unknown ,France,6984,1321,0,8305
28734,2022,Burundi,Gabon,6,0,0,6
28735,2022,Central African Rep.,Gabon,19,9,0,28
28736,2022,Chad,Gabon,65,13,0,78
28737,2022,Cameroon,Gabon,5,5,0,10
28738,2022,Congo,Gabon,60,0,0,60
28739,2022,Dem. Rep. of the Congo,Gabon,73,26,0,99
28740,2022,Mauritania,Gabon,6,0,0,6
28741,2022,Sao Tome and Principe,Gabon,6,0,0,6
28742,2022,Sudan,Gabon,5,0,0,5
28743,2022,Togo,Gabon,6,0,0,6
28744,2022,Central African Rep.,Gambia,10,8,0,18
28745,2022,Congo,Gambia,7,5,0,12
28746,2022,Dem. Rep. of the Congo,Gambia,63,5,0,68
28747,2022,Guinea-Bissau,Gambia,0,10,0,10
28748,2022,Guinea,Gambia,5,5,0,10
28749,2022,Cote d'Ivoire,Gambia,118,6,0,124
28750,2022,Liberia,Gambia,15,0,0,15
28751,2022,Rwanda,Gambia,5,0,0,5
28752,2022,Senegal,Gambia,4082,968,0,5050
28753,2022,Sierra Leone,Gambia,105,11,0,116
28754,2022,Syrian Arab Rep.,Gambia,5,0,0,5
28755,2022,Togo,Gambia,18,0,0,18
28756,2022,Afghanistan,United Kingdom of Great Britain and Northern Ireland,10259,7277,0,17536
28757,2022,Albania,United Kingdom of Great Britain and Northern Ireland,4485,15893,0,20378
28758,2022,Algeria,United Kingdom of Great Britain and Northern Ireland,306,612,0,918
28759,2022,Angola,United Kingdom of Great Britain and Northern Ireland,138,165,0,303
28760,2022,Antigua and Barbuda,United Kingdom of Great Britain and Northern Ireland,7,12,0,19
28761,2022,Egypt,United Kingdom of Great Britain and Northern Ireland,980,1379,0,2359
28762,2022,Argentina,United Kingdom of Great Britain and Northern Ireland,0,32,0,32
28763,2022,Armenia,United Kingdom of Great Britain and Northern Ireland,54,15,0,69
28764,2022,Australia,United Kingdom of Great Britain and Northern Ireland,5,0,0,5
28765,2022,Azerbaijan,United Kingdom of Great Britain and Northern Ireland,143,97,0,240
28766,2022,Bahrain,United Kingdom of Great Britain and Northern Ireland,101,20,0,121
28767,2022,Barbados,United Kingdom of Great Britain and Northern Ireland,15,16,0,31
28768,2022,Burundi,United Kingdom of Great Britain and Northern Ireland,53,19,0,72
28769,2022,Benin,United Kingdom of Great Britain and Northern Ireland,9,33,0,42
28770,2022,Bangladesh,United Kingdom of Great Britain and Northern Ireland,1851,4436,0,6287
28771,2022,Bhutan,United Kingdom of Great Britain and Northern Ireland,19,0,0,19
28772,2022,Burkina Faso,United Kingdom of Great Britain and Northern Ireland,11,14,0,25
28773,2022,Belarus,United Kingdom of Great Britain and Northern Ireland,92,104,0,196
28774,2022,Bolivia (Plurinational State of),United Kingdom of Great Britain and Northern Ireland,23,19,0,42
28775,2022,Botswana,United Kingdom of Great Britain and Northern Ireland,34,136,0,170
28776,2022,Brazil,United Kingdom of Great Britain and Northern Ireland,40,455,0,495
28777,2022,Bosnia and Herzegovina,United Kingdom of Great Britain and Northern Ireland,8,5,0,13
28778,2022,Belize,United Kingdom of Great Britain and Northern Ireland,0,5,0,5
28779,2022,Canada,United Kingdom of Great Britain and Northern Ireland,11,23,0,34
28780,2022,Central African Rep.,United Kingdom of Great Britain and Northern Ireland,11,17,0,28
28781,2022,Chad,United Kingdom of Great Britain and Northern Ireland,130,355,0,485
28782,2022,China,United Kingdom of Great Britain and Northern Ireland,963,2777,0,3740
28783,2022,Chile,United Kingdom of Great Britain and Northern Ireland,0,13,0,13
28784,2022,Cameroon,United Kingdom of Great Britain and Northern Ireland,803,447,0,1250
28785,2022,Congo,United Kingdom of Great Britain and Northern Ireland,88,98,0,186
28786,2022,Dem. Rep. of the Congo,United Kingdom of Great Britain and Northern Ireland,887,259,0,1146
28787,2022,Colombia,United Kingdom of Great Britain and Northern Ireland,14,63,0,77
28788,2022,Costa Rica,United Kingdom of Great Britain and Northern Ireland,0,9,0,9
28789,2022,Cuba,United Kingdom of Great Britain and Northern Ireland,15,23,0,38
28790,2022,Cabo Verde,United Kingdom of Great Britain and Northern Ireland,5,0,0,5
28791,2022,Cyprus,United Kingdom of Great Britain and Northern Ireland,0,9,0,9
28792,2022,Czechia,United Kingdom of Great Britain and Northern Ireland,0,5,0,5
28793,2022,Djibouti,United Kingdom of Great Britain and Northern Ireland,6,6,0,12
28794,2022,Dominica,United Kingdom of Great Britain and Northern Ireland,22,40,0,62
28795,2022,Dominican Rep.,United Kingdom of Great Britain and Northern Ireland,0,5,0,5
28796,2022,Ecuador,United Kingdom of Great Britain and Northern Ireland,5,29,0,34
28797,2022,Equatorial Guinea,United Kingdom of Great Britain and Northern Ireland,5,8,0,13
28798,2022,Eritrea,United Kingdom of Great Britain and Northern Ireland,15615,6886,0,22501
28799,2022,Ethiopia,United Kingdom of Great Britain and Northern Ireland,2015,1530,0,3545
28800,2022,Fiji,United Kingdom of Great Britain and Northern Ireland,5,0,0,5
28801,2022,France,United Kingdom of Great Britain and Northern Ireland,0,5,0,5
28802,2022,Gabon,United Kingdom of Great Britain and Northern Ireland,9,6,0,15
28803,2022,Gambia,United Kingdom of Great Britain and Northern Ireland,829,304,0,1133
28804,2022,Palestinian,United Kingdom of Great Britain and Northern Ireland,646,605,0,1251
28805,2022,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,20,0,0,20
28806,2022,Georgia,United Kingdom of Great Britain and Northern Ireland,77,1172,0,1249
28807,2022,Germany,United Kingdom of Great Britain and Northern Ireland,0,5,0,5
28808,2022,Ghana,United Kingdom of Great Britain and Northern Ireland,346,490,0,836
28809,2022,Guinea-Bissau,United Kingdom of Great Britain and Northern Ireland,6,8,0,14
28810,2022,Greece,United Kingdom of Great Britain and Northern Ireland,5,5,0,10
28811,2022,Grenada,United Kingdom of Great Britain and Northern Ireland,23,57,0,80
28812,2022,Guatemala,United Kingdom of Great Britain and Northern Ireland,9,35,0,44
28813,2022,Guinea,United Kingdom of Great Britain and Northern Ireland,206,168,0,374
28814,2022,Guyana,United Kingdom of Great Britain and Northern Ireland,19,5,0,24
28815,2022,Haiti,United Kingdom of Great Britain and Northern Ireland,0,10,0,10
28816,2022,"China, Hong Kong SAR",United Kingdom of Great Britain and Northern Ireland,20,30,0,50
28817,2022,Honduras,United Kingdom of Great Britain and Northern Ireland,124,1156,0,1280
28818,2022,Hungary,United Kingdom of Great Britain and Northern Ireland,0,5,0,5
28819,2022,Cote d'Ivoire,United Kingdom of Great Britain and Northern Ireland,188,118,0,306
28820,2022,India,United Kingdom of Great Britain and Northern Ireland,518,3445,0,3963
28821,2022,Indonesia,United Kingdom of Great Britain and Northern Ireland,46,104,0,150
28822,2022,Ireland,United Kingdom of Great Britain and Northern Ireland,13,11,0,24
28823,2022,Iran (Islamic Rep. of),United Kingdom of Great Britain and Northern Ireland,21904,15395,0,37299
28824,2022,Iraq,United Kingdom of Great Britain and Northern Ireland,7699,14033,0,21732
28825,2022,Israel,United Kingdom of Great Britain and Northern Ireland,121,25,0,146
28826,2022,Italy,United Kingdom of Great Britain and Northern Ireland,5,5,0,10
28827,2022,Jamaica,United Kingdom of Great Britain and Northern Ireland,251,204,0,455
28828,2022,Jordan,United Kingdom of Great Britain and Northern Ireland,112,153,0,265
28829,2022,Japan,United Kingdom of Great Britain and Northern Ireland,0,7,0,7
28830,2022,Kazakhstan,United Kingdom of Great Britain and Northern Ireland,49,76,0,125
28831,2022,Kenya,United Kingdom of Great Britain and Northern Ireland,319,372,0,691
28832,2022,Kyrgyzstan,United Kingdom of Great Britain and Northern Ireland,37,31,0,68
28833,2022,Rep. of Korea,United Kingdom of Great Britain and Northern Ireland,5,8,0,13
28834,2022,Dem. People's Rep. of Korea,United Kingdom of Great Britain and Northern Ireland,43,20,0,63
28835,2022,Kuwait,United Kingdom of Great Britain and Northern Ireland,716,1351,0,2067
28836,2022,Lao People's Dem. Rep.,United Kingdom of Great Britain and Northern Ireland,5,0,0,5
28837,2022,Liberia,United Kingdom of Great Britain and Northern Ireland,26,26,0,52
28838,2022,Libya,United Kingdom of Great Britain and Northern Ireland,4565,939,0,5504
28839,2022,Saint Lucia,United Kingdom of Great Britain and Northern Ireland,25,49,0,74
28840,2022,Lebanon,United Kingdom of Great Britain and Northern Ireland,223,199,0,422
28841,2022,Sri Lanka,United Kingdom of Great Britain and Northern Ireland,4418,1822,0,6240
28842,2022,Mauritania,United Kingdom of Great Britain and Northern Ireland,7,7,0,14
28843,2022,North Macedonia,United Kingdom of Great Britain and Northern Ireland,14,14,0,28
28844,2022,Rep. of Moldova,United Kingdom of Great Britain and Northern Ireland,5,6,0,11
28845,2022,Maldives,United Kingdom of Great Britain and Northern Ireland,44,0,0,44
28846,2022,Mexico,United Kingdom of Great Britain and Northern Ireland,14,102,0,116
28847,2022,Mali,United Kingdom of Great Britain and Northern Ireland,31,72,0,103
28848,2022,Malaysia,United Kingdom of Great Britain and Northern Ireland,310,546,0,856
28849,2022,Malawi,United Kingdom of Great Britain and Northern Ireland,267,96,0,363
28850,2022,Mongolia,United Kingdom of Great Britain and Northern Ireland,51,75,0,126
28851,2022,Morocco,United Kingdom of Great Britain and Northern Ireland,235,405,0,640
28852,2022,Mozambique,United Kingdom of Great Britain and Northern Ireland,6,5,0,11
28853,2022,Montenegro,United Kingdom of Great Britain and Northern Ireland,0,5,0,5
28854,2022,Mauritius,United Kingdom of Great Britain and Northern Ireland,64,120,0,184
28855,2022,Myanmar,United Kingdom of Great Britain and Northern Ireland,338,135,0,473
28856,2022,Namibia,United Kingdom of Great Britain and Northern Ireland,207,1009,0,1216
28857,2022,Nepal,United Kingdom of Great Britain and Northern Ireland,73,590,0,663
28858,2022,Netherlands,United Kingdom of Great Britain and Northern Ireland,5,0,0,5
28859,2022,Niger,United Kingdom of Great Britain and Northern Ireland,194,23,0,217
28860,2022,Nicaragua,United Kingdom of Great Britain and Northern Ireland,57,252,0,309
28861,2022,Nigeria,United Kingdom of Great Britain and Northern Ireland,3138,3393,0,6531
28862,2022,Norway,United Kingdom of Great Britain and Northern Ireland,5,5,0,10
28863,2022,Oman,United Kingdom of Great Britain and Northern Ireland,22,29,0,51
28864,2022,Pakistan,United Kingdom of Great Britain and Northern Ireland,8009,5163,0,13172
28865,2022,Panama,United Kingdom of Great Britain and Northern Ireland,0,5,0,5
28866,2022,Peru,United Kingdom of Great Britain and Northern Ireland,0,9,0,9
28867,2022,Philippines,United Kingdom of Great Britain and Northern Ireland,63,772,0,835
28868,2022,Poland,United Kingdom of Great Britain and Northern Ireland,0,11,0,11
